zipcode,city_id
01515,120201
01516,120189
01516,120205
01517,120216
01518,120236
01518,120559
01519,120254
01520,120289
01521,120236
01521,120290
01522,120306
01523,120310
01524,120316
01525,120323
01526,120334
01527,120359
01529,120362
01531,120383
01532,120429
01534,120430
01535,120400
01536,120412
01537,120418
01538,120425
01540,120447
01541,120465
01542,120477
01543,120487
01545,120508
01546,120508
01550,120546
01560,120526
01561,120531
01562,120549
01564,120551
01564,120552
01566,120559
01568,120582
01568,120638
01569,120583
01570,120194
01570,120599
01571,120193
01580,35322
01581,35322
01582,35322
01583,120610
01585,120612
01586,120359
01586,120628
01588,120656
01590,120562
01590,120659
01601,29697
01602,29697
01603,29697
01604,29697
01605,29697
01606,29697
01607,29697
01608,29697
01609,29697
01610,29697
01611,120161
01612,29697
01612,120449
01613,29697
01614,29697
01615,29697
01653,29697
01654,29697
01655,29697
01701,35760
01702,35760
01703,35760
01704,35760
01705,35760
01718,120083
01718,120584
01719,120083
01719,120130
01720,120083
01720,120606
01721,120096
01730,35244
01731,35244
01731,120272
01740,120126
01741,120148
01742,120173
01742,120616
01745,120234
01745,120545
01746,120291
01747,120293
01748,120294
01749,120297
01752,35321
01752,120339
01754,120346
01756,120350
01757,36124
01760,120379
01760,120534
01770,120505
01772,120545
01773,120322
01775,120558
01776,120560
01778,120170
01778,120598
01784,120673
01801,35499
01803,3572
01805,3572
01806,35499
01807,35499
01808,35499
01810,35278
01812,35278
01813,35499
01815,35499
01821,35320
01821,120123
01822,120123
01824,36122
01824,120520
01826,120191
01827,120195
01830,120282
01831,120282
01832,120282
01833,120248
01833,120282
01834,120265
01835,120133
01835,120282
01835,120590
01840,120313
01841,120313
01842,120313
01843,120313
01844,120353
01845,120398
01850,35500
01851,35500
01852,35500
01853,35500
01854,35500
01860,120352
01862,35320
01862,120123
01863,120404
01864,120421
01865,120435
01866,120456
01867,120471
01876,120568
01879,120579
01880,35908
01885,120609
01886,120241
01886,120256
01886,120644
01887,120664
01888,35499
01889,120421
01890,120667
01899,35278
01901,120329
01902,120329
01903,120329
01904,120211
01904,120329
01905,120329
01905,120626
01906,120495
01907,120563
01908,120378
01910,120329
01913,120088
01915,120121
01915,120122
01921,120131
01922,120146
01923,35909
01929,120230
01930,120252
01930,120332
01931,120252
01936,120268
01937,120281
01938,120304
01940,120330
01940,120533
01944,16132
01945,120337
01949,120357
01950,120388
01950,120460
01951,120387
01951,120388
01952,120491
01952,120492
01960,35880
01960,120632
01961,35880
01965,120464
01966,120479
01969,120482
01970,120490
01971,120490
01982,120529
01983,120573
01984,120605
01985,120629
02018,120082
02018,120286
02019,120115
02020,120134
02021,120147
02025,120171
02026,6754
02027,6754
02030,120190
02031,120212
02032,120220
02035,120243
02038,120244
02040,120260
02040,120497
02041,120259
02043,120286
02044,120286
02045,120298
02047,120299
02048,120336
02050,120340
02051,120341
02052,120347
02053,120348
02054,120361
02055,120365
02055,120497
02056,120395
02059,120415
02060,120422
02060,120497
02061,120433
02062,120434
02065,120340
02065,120438
02066,120497
02067,120499
02070,120504
02071,120539
02072,120557
02081,120588
02090,120651
02093,120676
02101,2764
02102,2764
02103,2764
02104,2764
02105,2764
02106,2764
02107,2764
02108,2764
02109,2764
02110,2764
02111,2764
02112,2764
02113,2764
02114,2764
02115,2764
02116,2764
02117,2764
02118,2764
02118,120483
02119,2764
02119,120483
02120,2764
02120,120366
02120,120483
02120,120484
02121,2764
02121,120187
02121,120264
02122,2764
02122,120187
02123,2764
02124,2764
02124,120187
02124,120188
02125,2764
02125,120187
02125,120581
02126,2764
02126,120344
02127,2764
02127,120517
02128,2764
02128,120198
02129,2764
02129,120155
02130,2764
02130,120305
02131,2764
02131,120480
02132,2764
02132,120633
02133,2764
02134,409
02134,2764
02135,2764
02135,120137
02136,2764
02136,120301
02136,120472
02137,2764
02137,120301
02137,120472
02138,3857
02139,3857
02140,3857
02140,120401
02140,120463
02141,3857
02141,120202
02142,3857
02143,36123
02144,36123
02144,120634
02145,36123
02145,120669
02148,120333
02149,120231
02150,35250
02151,35259
02152,120670
02153,35256
02153,120577
02155,35256
02156,120627
02163,2764
02163,3857
02169,120467
02170,120467
02170,120671
02171,120420
02171,120467
02171,120550
02176,120349
02177,120349
02180,120555
02184,35400
02185,35400
02186,120363
02187,120364
02188,120652
02189,120223
02189,120652
02190,120542
02190,120652
02191,120427
02191,120652
02196,2764
02199,2764
02201,2764
02202,2764
02203,2764
02204,2764
02205,2764
02206,2764
02207,2764
02208,2764
02209,2764
02210,2764
02211,2764
02212,2764
02215,2764
02216,2764
02217,2764
02222,2764
02228,2764
02228,120198
02238,3857
02238,120276
02239,3857
02241,2764
02266,2764
02269,120467
02283,2764
02284,2764
02293,2764
02295,2764
02297,2764
02298,2764
02301,120139
02302,120139
02303,120139
02304,120139
02305,120139
02322,120105
02324,120136
02324,120199
02325,120136
02327,120143
02330,120149
02331,120196
02332,120196
02333,120199
02334,120226
02337,120228
02338,120267
02339,120098
02339,120271
02340,120271
02341,120273
02343,120288
02344,120354
02345,120335
02346,120354
02347,120309
02348,120309
02348,120354
02348,120354
02348,120355
02348,120355
02349,120354
02349,120355
02350,120367
02351,120081
02355,120402
02356,120409
02357,120409
02357,120556
02358,120419
02359,120451
02360,36135
02360,120151
02361,36135
02362,36135
02364,120307
02364,120512
02366,120518
02367,120461
02368,120468
02370,36125
02375,120524
02379,120611
02381,120655
02382,120657
02420,35905
02421,35905
02445,120141
02446,120141
